epoch,train_loss,train_acc,val_loss,val_acc
1,1.2710891315078736,0.53964,1.036142813873291,0.6386
2,0.8305939436721802,0.70796,0.8734015300750733,0.6933
3,0.6585764928627014,0.77102,0.7047914633750916,0.7575
4,0.5403313145637513,0.81458,0.6018149793624878,0.794
5,0.43321207595825195,0.85118,0.8416572222709656,0.7397
6,0.3447984192276001,0.8822,0.6090115272521973,0.8049
7,0.2645851875972748,0.90834,0.5801661672592163,0.8149
8,0.20563456643104552,0.9281,0.6118949533462524,0.8184
9,0.1534491938495636,0.94656,0.6075120487213135,0.8291
10,0.12239999701142311,0.95864,0.6937424023628235,0.8201
